"","X","screen_name","user_id","prob_bot"
"2",2,"billbellew",164622407,0.28145236000798
"7",7,"DeanWethers",1167916080,0.0184080518123937
"9",9,"THECourtneyBall",2287784586,0.271647501774791
"10",10,"MujibAnsariMBA",3304945891,0.230691850801319
"14",14,"lounastyy",493053486,0.356100357818378
"15",15,"ivanvegaar",201584468,0.197804365818829
"16",16,"naracaballero_",72986117,0.0761721646692456
"22",22,"ZephrFish",24001364,0.127936151776246
"23",23,"Aristotle1865",204623129,0.4204307034959
"24",24,"therealbraswel",323936170,0.0897617068235984
"26",26,"jacobgood93",790180814,0.0141489367623512
"28",28,"xo_mxa",503636847,0.0966068561894897
"29",29,"iAndrea_Iturbe",324162729,0.309334640756095
"31",31,"DonovanTQY",188372404,0.456562762897357
"32",32,"96Dopes",1120426614,0.206373705304581
"33",33,"Himanshu_S_95",1001858439587381248,0.155568160412471
"35",35,"CameronBeavers1",627683167,0.00585892036100406
"39",39,"Amjadalgubaisi",208981159,0.0273015578886046
"42",42,"PandaPodStresom",219924674,0.205665357156247
"46",46,"kaitlyn_harkey",1018653638,0.353654074791093
"47",47,"BogusFab",146574586,0.0127434061628905
"49",49,"Honey69Badger",28337070,0.445844460288183
"53",53,"_cfrank_",540391246,0.00594927807223436
"55",55,"makeartmakeout",147266694,0.235383312657274
"56",56,"raynberryy",2919178192,0.0925474650207231
"57",57,"cocograce42",74465935,0.136216846059719
"58",58,"i_Ahmdx",615036401,0.0912862951478457
"60",60,"anaferp",94691867,0.346310890558713
"61",61,"miliany_p",51917375,0.158654143264989
"62",62,"Junior_Galvez2",386056948,0.0170380777179525
"64",64,"babyharu_",103040931,0.0389367917176465
"65",65,"loserlauren_",3010799708,0.0412963786151389
"67",67,"julius_torres00",2436128425,0.0471953323802229
"68",68,"Jair4P",186308431,0.0418743241319029
"69",69,"alyssagusman",2755369704,0.0679204288404351
"70",70,"harner_harley",989238223,0.0087648978522596
"71",71,"ginny_inabottle",254631645,0.272289265614758
"72",72,"lilrwan",2930340857,0.0148626506134393
"74",74,"kelleemorris",518214129,0.269139045307905
"76",76,"matthall135",115821923,0.241866180445835
"77",77,"PowerCoupleLife",2815545079,0.0628703478907228
"78",78,"KoriJWilliams",255298931,0.0176301892509773
"81",81,"Abouishaq",135873039,0.19002845551144
"82",82,"Boston_Tom_",3361853303,0.0951763546609146
"83",83,"nonnandaaa",79217978,0.223217446739106
"90",3,"NickTheHuman",285720471,0.434127355835839
"92",5,"ibrahimwaleed_",354084572,0.074339579394871
"94",7,"pelahap_buku",16836281,0.0606258778014733
"98",11,"ItsMeWalid",355048174,0.1768574646328
"99",12,"britneyjparks",425408161,0.067917856407227
"102",15,"CesarRoca",98580672,0.202568354057243
"103",16,"Mathyoufoster",171974137,0.0226082557408056
"104",17,"syafaqmuth",363353937,0.0133180187493458
"105",18,"Fly_McDeezy",290894280,0.0119338053155727
"106",19,"mgns",700423,0.121741803747595
"109",22,"babyfacerap",108565369,0.0623822462352797
"110",23,"C_Muziq",247144663,0.0172271522087299
"112",25,"imbuyinghouses",427860750,0.00569628178622952
"115",28,"JaeyDeuce",229156990,0.125359915093969
"120",33,"dbroohm",221306488,0.101703566562228
"124",37,"x__fresh__x",325141564,0.134460264866171
"125",38,"MayoGotIt",86985777,0.244697638337202
"128",41,"brandonmiltsch",70447935,0.0197673044656195
"129",42,"yungpablo",382248024,0.187513352543035
"130",43,"bryan_blazee",578545655,0.259212071601797
"132",45,"AnniBoros",1170199861,0.4516826744254
"134",47,"MyTechLifestyle",327799974,0.190067647491829
"135",48,"tommatzzie",15469170,0.0405789260185853
"136",49,"cindytjahjadi",152132063,0.19713713718203
"140",53,"Jolanarchiste",722625657704996864,0.0679836291388899
"142",55,"livescifi",7435142,0.132152371709279
