"","Date","Price_Open","Price_High","Price_Low","Price_Close","Volume"
"1","01/02/2016",188.759995,199.520004,182.75,196.940002,5297600
"5","01/03/2017",254.179993,254.850006,249.110001,250.020004,4809500
"10","01/05/2015",229.940002,231.770004,220.410004,226.029999,5281700
"11","01/06/2015",251.410004,251.600006,247.470001,249.449997,2505100
"17","01/08/2017",323,324.450012,NA,319.570007,8303100
"24","01/11/2017",332.25,332.609985,NA,321.079987,8457300
"26","01/12/2016",188.25,188.529999,181,181.880005,5126400
"31","02/02/2017",248.339996,252.419998,247.710007,251.550003,2499800
"32","02/02/2018",348.440002,351.950012,NA,343.75,3704800
"33","02/03/2015",202.699997,203.339996,NA,197.330002,7922100
"34","02/03/2016",183.729996,188.520004,181.5,188.339996,4862400
"35","02/03/2017",249.710007,253.279999,248.270004,250.479996,3351800
"39","02/05/2018",298.570007,306.850006,297.779999,301.149994,8970400
"40","02/06/2014",207.330002,209.350006,201.669998,204.699997,4668100
"44","02/08/2017",318.940002,327.119995,NA,325.890015,13091500
"45","02/08/2018",328.440002,349.98999,323.160004,349.540009,23215000
"47","02/09/2016",202.330002,203.199997,NA,197.779999,5977400
"48","02/10/2014",250.199997,252.789993,245.360001,251.419998,8998200
"51","02/11/2018",343.73999,349.200012,NA,346.410004,7808000
"59","03/03/2017",250.740005,251.899994,249,251.570007,2919400
"63","03/07/2014",231.289993,231.899994,224,229.25,5166700
"64","03/07/2017",370.23999,371.350006,351.5,352.619995,6305400
"70","03/10/2014",253.059998,256.5,251.029999,255.210007,5406300
"73","03/11/2017",299.5,306.25,NA,306.089996,8894000
"74","03/12/2014",226.25,229.720001,225.5,229.300003,5307700
"86","04/06/2014",204.350006,206.259995,200.399994,203.990005,3427400
"87","04/06/2015",247.5,249.300003,245.710007,245.919998,2453600
"92","04/11/2015",227,232.740005,225.199997,231.630005,12706700
"95","04/12/2015",232.460007,233.270004,227.660004,230.380005,2573600
"96","04/12/2017",306.5,308.269989,300.609985,305.200012,5835100
"98","05/01/2016",226.360001,226.889999,220,223.429993,3186800
"99","05/01/2017",226.419998,227.479996,221.949997,226.75,5911700
"100","05/03/2015",202.850006,206.190002,200.149994,200.630005,4877000
"105","05/05/2017",298,308.549988,296.799988,308.350006,8177300
"107","05/06/2015",246,249.699997,245.679993,249.139999,3022000
"111","05/08/2016",230,232,227.399994,230.029999,3205200
"114","05/10/2015",248.839996,249.839996,NA,246.149994,3689900
"118","05/12/2014",228.669998,229.389999,222.259995,223.710007,6063600
"120","05/12/2017",302,308,301,303.700012,4646500
"122","06/01/2017",226.929993,230.309998,225.449997,229.009995,5527900
"124","06/02/2017",251,257.820007,250.630005,257.769989,3562500
"128","06/03/2017",247.910004,251.699997,247.509995,251.210007,3355500
"131","06/04/2015",198,207.75,197.5,203.100006,12455800
"137","06/06/2018",300.5,322.170013,297.480011,319.5,18767300
"141","06/08/2015",249.539993,255,NA,246.130005,14623800
"146","06/10/2016",202.460007,204.210007,200.210007,201,4703400
"148","06/11/2015",230.699997,233.360001,229.5,232.360001,2445300
"150","06/12/2016",185.520004,186.580002,182.679993,185.850006,3391600
"155","07/03/2016",197.679993,209.699997,197.399994,205.289993,5329400
"156","07/03/2017",251.919998,253.889999,248.320007,248.589996,3459500
"157","07/03/2018",325.440002,332.5,321.73999,332.299988,5007300
"164","07/07/2014",227.5,229.779999,220.399994,222.660004,5893700
"168","07/09/2016",205.5,206.5,200.710007,201.710007,3640900
"171","07/10/2016",201,201.320007,NA,196.610001,3493000
"172","07/11/2017",301.019989,306.5,300.029999,306.049988,5294300
"176","08/02/2016",157.100006,157.149994,146,147.990005,9313000
"178","08/02/2019",306.829987,307.450012,298.5,305.799988,5844200
"186","08/05/2018",300.799988,307.75,299,301.970001,5930000
"188","08/06/2015",250.850006,258.75,250.309998,256.290009,5001200
"191","08/08/2014",251.160004,251.759995,246.5,248.130005,5090100
"195","08/09/2016",199.550003,199.889999,NA,197.360001,3370000
"197","08/10/2015",230.080002,230.720001,221.309998,226.720001,6133200
"198","08/11/2017",305.5,306.890015,301.299988,304.390015,4725300
"201","08/12/2015",227.520004,228.800003,224.199997,226.720001,2687600
"202","09/01/2015",208.919998,209.979996,204.960007,206.660004,4591300
"205","09/03/2016",204.520004,209.369995,202.789993,208.720001,3208600
"207","09/03/2018",324.100006,328.48999,322.369995,327.170013,5506800
"210","09/04/2019",271.649994,275,NA,272.309998,5904000
"212","09/05/2018",300.410004,307.01001,300.049988,306.850006,5727400
"213","09/06/2014",207.949997,209.990005,204.199997,205.309998,2805700
"214","09/06/2015",255.399994,257.73999,254.139999,256,2611100
"220","09/09/2015",252.050003,254.25,248.300003,248.910004,3384700
"222","09/10/2015",220.929993,224.369995,NA,220.690002,6158400
"227","09/11/2017",302.5,304.459991,296.299988,302.98999,5447100
"228","09/11/2018",349,354,345.230011,350.51001,5098800
"230","09/12/2015",226.699997,227.5,220.720001,224.520004,3057800
"231","10/01/2017",232,232,226.889999,229.869995,3660000
"233","10/01/2019",334.399994,345.390015,331.790009,344.970001,6056400
"243","10/05/2017",321.559998,325.5,NA,325.220001,5741600
"245","10/06/2014",204.429993,206.970001,201.550003,202.300003,3514700
"246","10/06/2015",251.899994,254,248.5,250.699997,3454500
"248","10/07/2018",324.559998,327.679993,NA,322.470001,9471500
"252","10/09/2015",247.229996,250.720001,245.330002,248.479996,2709000
"254","10/10/2016",201.350006,204.139999,199.660004,200.949997,3303100
"257","10/11/2017",302.5,308.359985,301.850006,302.98999,4625400
"259","11/01/2017",229.070007,229.979996,226.679993,229.729996,3650800
"261","11/03/2016",207.929993,209.419998,205.330002,207.5,3343100
"263","11/04/2016",251,258.98999,245.300003,249.919998,9161700
"266","11/05/2017",323.399994,326,NA,323.100006,4753800
"267","11/05/2018",307.700012,308.880005,299.079987,301.059998,4679600
"278","11/09/2018",279.470001,282,273.549988,279.440002,9170000
"285","12/01/2015",203.050003,204.470001,199.25,202.210007,5944200
"288","12/03/2018",328.609985,347.209991,326.5,345.51001,8264000
"289","12/04/2016",249.5,251.800003,NA,247.820007,5750800
"290","12/04/2017",306.339996,308.450012,296.320007,296.839996,6050700
"294","12/06/2014",205.100006,209.880005,202.710007,203.520004,5993700
"297","12/07/2016",224.100006,227.5,223.220001,224.649994,4571300
"302","12/09/2014",280.5,282.390015,277,279.200012,3324600
"307","12/11/2014",249.720001,252.339996,245.580002,249.100006,5870800
"314","13/02/2015",202.899994,205.990005,200.910004,203.770004,6191000
"319","13/04/2016",248.509995,255.5,247.330002,254.529999,4925600
"324","13/06/2014",204.779999,206.789993,201.580002,206.419998,3544300
"325","13/06/2018",346.709991,347.200012,NA,344.779999,9469800
"326","13/07/2016",225.5,225.589996,220.289993,222.529999,3567100
"327","13/07/2017",330.109985,331.600006,NA,323.410004,8594500
"329","13/10/2016",200.5,200.899994,197.050003,200.240005,2494600
"331","13/11/2014",250.619995,255.75,250.25,251.699997,6236000
"339","14/02/2019",303.380005,306.769989,301,303.769989,5200800
"341","14/04/2015",208.570007,209.490005,205.5,207.460007,3017000
"346","14/07/2016",223.119995,224.940002,221.050003,221.529999,2675800
"347","14/07/2017",323.190002,328.420013,321.220001,327.779999,5625200
"349","14/09/2015",251.100006,254.25,249.669998,253.190002,2890900
"353","14/11/2014",250,258.850006,248.5,258.679993,6101100
"357","15/01/2016",198.970001,205.070007,197.25,204.990005,5578600
"358","15/02/2017",280,282.23999,276.440002,279.76001,4947900
"373","15/09/2014",274.369995,274.399994,249.130005,253.860001,16455400
"374","15/09/2015",252.75,254.600006,249.5,253.570007,2929300
"375","15/09/2016",196.490005,202.520004,NA,200.419998,3077200
"380","15/12/2014",209.289993,209.800003,202.669998,204.039993,5218300
"382","15/12/2016",198.410004,200.740005,197.389999,197.580002,3219600
"383","16/01/2019",344.779999,352,343.5,346.049988,4691700
"387","16/03/2018",322.929993,327.399994,NA,321.350006,6117300
"400","16/09/2016",200.419998,205.699997,199,205.399994,3107800
"402","16/10/2017",353.76001,354.480011,347.160004,350.600006,5375500
"404","16/11/2016",182.649994,184.729996,181.210007,183.929993,3430400
"406","16/12/2014",200.889999,203.679993,NA,197.809998,8426100
"409","17/01/2019",346.209991,351.5,344.149994,347.309998,3676700
"413","17/04/2015",204.990005,206.880005,203.5,206.789993,2469900
"415","17/04/2019",274.75,274.790009,NA,271.230011,5126500
"416","17/05/2016",209.050003,209.820007,204.020004,204.660004,2843600
"420","17/07/2015",272.5,275.540009,NA,274.660004,5004100
"425","17/08/2018",323.5,326.769989,303.529999,305.5,18958600
"428","17/10/2017",350.910004,356.220001,350.070007,355.75,3293300
"429","17/10/2018",282.399994,282.700012,NA,271.779999,8655500
"431","17/11/2016",183.490005,189.490005,182.110001,188.660004,4887100
"433","18/01/2018",345.670013,352.299988,343.73999,344.570007,5685800
"434","18/01/2019",323,327.130005,299.730011,302.26001,24150800
"435","18/02/2015",204.169998,206.169998,202.600006,204.460007,2708800
"439","18/04/2017",299.700012,300.839996,297.899994,300.25,3035700
"440","18/04/2019",271.230011,274.839996,NA,273.26001,5876300
"441","18/05/2015",247,249.899994,246,248.75,3348000
"445","18/06/2018",355.399994,373.730011,354.5,370.829987,12073200
"446","18/07/2018",325,325.5,NA,323.850006,5624200
"449","18/08/2017",352.910004,354,345.799988,347.459991,5408200
"458","19/01/2018",345,350.589996,NA,350.019989,4888300
"462","19/04/2016",253.119995,254.369995,NA,247.369995,6357500
"464","19/05/2015",248.429993,251,246.149994,247.139999,3674200
"467","19/07/2016",225,229.100006,224.75,225.259995,3115100
"468","19/07/2017",328.230011,331.649994,323.220001,325.26001,6357000
"469","19/08/2014",258.869995,259.329987,251.619995,256.76001,5334800
"473","19/09/2018",280.51001,300,280.5,299.019989,8294900
"474","19/10/2015",226.5,231.149994,224.940002,228.100006,2507900
"476","19/10/2017",355.559998,357.149994,348.200012,351.809998,5061800
"477","19/11/2014",250.610001,251.880005,245.600006,247.740005,7918500
"478","19/11/2015",220.539993,226.190002,220.300003,221.800003,2504400
"481","19/12/2016",202.490005,204.449997,199.839996,202.729996,3488100
"482","20/01/2016",199.399994,201.279999,NA,198.699997,5838600
"486","20/04/2015",206.779999,207.850006,203.850006,205.270004,2554700
"487","20/04/2016",246.259995,253.660004,NA,249.970001,5194100
"488","20/04/2017",306.51001,309.149994,300.230011,302.51001,6149400
"491","20/06/2014",228.520004,231.289993,226.199997,229.589996,4903900
"494","20/07/2016",226.470001,229.800003,225,228.360001,2568500
"495","20/07/2017",326.899994,330.220001,324.200012,329.920013,5166200
"497","20/08/2014",254.669998,258.73999,253,255.710007,3027900
"500","20/09/2017",373,378.25,371.070007,373.910004,4919100
"502","20/10/2014",226.720001,232.399994,225.509995,230.470001,3494400
"504","20/10/2016",202.119995,203,197.050003,199.100006,5072900
"505","20/10/2017",352.690002,354.549988,344.339996,345.100006,4930400
"506","20/11/2014",247.949997,250.929993,246,248.710007,3587200
"508","20/12/2016",203.050003,209,202.5,208.789993,4689100
"512","21/01/2016",201.550003,203.229996,NA,199.970001,3166200
"513","21/02/2017",275.450012,281.399994,274.01001,277.390015,5676700
"516","21/03/2019",272.600006,276.450012,NA,274.019989,5947100
"518","21/04/2016",248.990005,250.899994,246.910004,248.289993,2783100
"519","21/04/2017",302,306.399994,300.420013,305.600006,4509800
"521","21/05/2019",197.759995,207.399994,NA,205.080002,18003900
"523","21/06/2017",374.350006,376.98999,368.019989,376.399994,4923200
"525","21/07/2017",329.459991,331.26001,325.799988,328.399994,4901600
"526","21/08/2014",256.519989,258.799988,253.259995,254.339996,2915600
"529","21/09/2016",206.369995,207,201.559998,205.220001,2633500
"531","21/09/2018",297.700012,300.579987,NA,299.100006,5050500
"532","21/10/2016",198.600006,201.570007,197.410004,200.089996,2943400
"541","22/01/2016",204.800003,205.5,199.029999,202.550003,3124100
"543","22/01/2019",304.820007,308,NA,298.920013,12066700
"544","22/02/2017",280.309998,283.450012,272.600006,273.51001,8755000
"553","22/07/2016",221.990005,224.5,NA,222.270004,2579700
"554","22/08/2014",254.539993,256.950012,252.610001,256.779999,2833400
"556","22/08/2018",320.869995,323.880005,NA,321.640015,5946000
"557","22/09/2014",255,256.019989,NA,250.029999,8214100
"562","22/12/2016",208.220001,209.990005,206.5,208.449997,3111100
"564","23/01/2015",200.289993,203.5,198.330002,201.289993,3438600
"565","23/02/2018",347.829987,354.98999,347.100006,352.049988,5817400
"566","23/03/2015",198.5,200.5,197.470001,199.630005,2620900
"568","23/03/2017",255.389999,257.670013,253.300003,254.779999,3320200
"570","23/05/2018",277.76001,279.910004,274,279.070007,5953100
"573","23/08/2016",224.320007,228.490005,222.800003,224.839996,4784400
"574","23/08/2018",319.140015,327.320007,NA,320.100006,5147300
"575","23/09/2016",205.990005,210.179993,205.669998,207.449997,2905200
"578","23/12/2014",223.809998,224.320007,219.520004,220.970001,4505700
"581","24/01/2017",250,254.800003,249.649994,254.610001,4965500
"582","24/01/2018",354.579987,354.75,343.519989,345.890015,5287500
"585","24/02/2017",252.660004,258.25,250.199997,257,8171600
"586","24/03/2015",201.580002,203.789993,199.75,201.720001,3649900
"589","24/04/2017",309.220001,310.549988,306.019989,308.029999,5083500
"590","24/05/2017",306.51001,311,305.399994,310.220001,5033300
"593","24/07/2014",223.25,225.100006,220.800003,223.539993,3245500
"597","24/08/2016",227.050003,227.149994,222.220001,222.619995,2570700
"598","24/08/2017",352.519989,356.660004,349.73999,352.929993,4584700
"599","24/08/2018",320.700012,323.850006,NA,322.820007,3602600
"602","24/09/2018",298.480011,303,NA,299.679993,4843000
"603","24/10/2016",201,203.949997,200.25,202.759995,2751600
"606","25/01/2016",200.059998,203.570007,NA,196.380005,2698700
"607","25/01/2017",257.309998,258.459991,251.800003,254.470001,5142600
"610","25/02/2016",178.649994,188.520004,NA,187.429993,5720500
"613","25/04/2016",253.009995,257.380005,250.759995,251.820007,3670300
"616","25/04/2019",255,259,246.070007,247.630005,21849400
"620","25/07/2014",222.720001,226.970001,221.75,223.570007,3087100
