"Rango","Cantidad","Promedio","Desviacion_Estandar","Cantidad_dentro_de_desviacion","Cantidad_de_dias_fuera_de_la_desviacion_estandar"
"1","140 - 165",8,154.78500175,6.53297242324421,6,2
"2","165 - 190",38,184.071052552632,5.82191764674257,31,7
"3","190 - 215",216,203.368240837963,6.92182559740084,133,83
"4","215 - 240",237,226.771856852321,6.64236100734624,142,95
"5","240 - 265",219,252.791871744292,6.90205525276257,130,89
"6","265 - 290",109,277.100458844037,6.90994534756169,63,46
"7","290 - 315",150,304.246267486667,6.74525653710923,89,61
"8","315 - 340",127,326.771574968504,7.91156170035864,70,57
"9","340 - 365",125,350.501439456,6.76388237261056,81,44
"10","365 - 390",30,373.2773335,5.56562913249955,19,11
