"Rango","Cantidad","Promedio","Desviacion_Estandar","Cantidad_dentro_de_desviacion","Cantidad_de_dias_fuera_de_la_desviacion_estandar"
"1","140 - 165",6,159.188329166667,3.39955436579681,3,3
"2","165 - 190",23,183.245217304348,7.04289538746881,18,5
"3","190 - 215",202,203.919999544554,6.79764086462315,123,79
"4","215 - 240",246,227.599918886179,6.82115238207827,146,100
"5","240 - 265",207,253.170385362319,6.7982937774349,126,81
"6","265 - 290",123,275.987969138211,7.61598220860982,69,54
"7","290 - 315",134,304.722314597015,6.68007537451445,85,49
"8","315 - 340",128,325.603125523437,7.21597213227497,74,54
"9","340 - 365",141,351.203545269504,6.30632190052678,84,57
"10","365 - 390",49,374.169999693878,6.80483069453775,31,18
