"Rango","Cantidad","Promedio","Desviacion_Estandar","Cantidad_dentro_de_desviacion","Cantidad_de_dias_fuera_de_la_desviacion_estandar"
"1","140 - 165",10,151.5290008,8.72713951670387,6,4
"2","165 - 190",64,184.2462499375,5.45643498750557,52,12
"3","190 - 215",218,203.307568862385,6.5941323621975,135,83
"4","215 - 240",232,225.811249603448,6.68909308440485,142,90
"5","240 - 265",214,251.356215154206,6.54037247846138,136,78
"6","265 - 290",111,277.224053504505,7.14445105915873,68,43
"7","290 - 315",164,302.89121879878,6.82694333554256,96,68
"8","315 - 340",133,328.540000345865,7.51974525399012,80,53
"9","340 - 365",96,349.876145989583,6.42611553697304,61,35
"10","365 - 390",17,370.890000235294,4.26635414362488,11,6
