"Rango","Cantidad","Promedio","Desviacion_Estandar","Cantidad_dentro_de_desviacion","Cantidad_de_dias_fuera_de_la_desviacion_estandar"
"1","140 - 165",7,151.312857285714,6.08136309215223,5,2
"2","165 - 190",38,183.713421868421,6.39095093810708,33,5
"3","190 - 215",211,203.006540227488,6.7398878987953,131,80
"4","215 - 240",243,226.350617230453,6.71450912317793,150,93
"5","240 - 265",215,252.558093409302,6.81893475105046,129,86
"6","265 - 290",110,276.7853654,7.28078598867355,57,53
"7","290 - 315",148,303.559121,6.77382841868116,91,57
"8","315 - 340",132,326.818712871212,7.7480236744529,73,59
"9","340 - 365",127,350.23063023622,6.50443953440253,81,46
"10","365 - 390",28,373.490000035714,5.94690765861382,15,13
