"Rango","Cantidad","Promedio","Desviacion_Estandar","Cantidad_dentro_de_desviacion","Cantidad_de_dias_fuera_de_la_desviacion_estandar"
"1","700000 - 4030000",358,3082625.41899441,641745.944825056,223,135
"2","4030000 - 7360000",580,5462860.68965517,961328.159365552,345,235
"3","7360000 - 10690000",200,8633828.5,930005.769819326,125,75
"4","10690000 - 14020000",60,12190715,976262.070751566,34,26
"5","14020000 - 17350000",23,15457956.5217391,1121835.85893274,13,10
"6","17350000 - 20680000",20,18732560,910086.94460301,12,8
"7","20680000 - 24010000",12,22497116.6666667,1007128.46145801,7,5
"8","24010000 - 27340000",3,25089700,1279529.25328028,2,1
"9","27340000 - 30670000",1,27425500,0,1,0
"10","30670000 - 34000000",2,32262750,1961443.50033336,2,0
