"","Date","Price_Open_E","Price_High_E","Price_Low_E","Price_Close_E","Volume_E"
"7","01/07/2014",242.460007,243.440002,238.699997,239.720001,4336100
"17","02/05/2016",241.5,243.190002,234.820007,241.800003,3843900
"19","02/06/2016",219.589996,219.910004,217.110001,218.960007,2009400
"50","04/02/2016",170.699997,175.979996,166.990005,175.330002,4363900
"56","04/08/2015",260.01001,266.720001,258.339996,266.279999,2352500
"80","06/01/2016",220,220.050003,215.979996,219.039993,3779100
"106","07/11/2016",193.589996,194.289993,190.050003,193.210007,3870100
"111","08/01/2018",316,337.019989,315.5,336.410004,9859400
"119","08/07/2016",217.800003,219.809998,214.5,216.779999,4074800
"134","09/05/2019",242,243.679993,236.940002,241.979996,6711400
"143","10/05/2019",239.75,241.990005,236.020004,239.520004,7008300
"147","10/08/2015",238.149994,242.970001,236.050003,241.139999,4185900
"167","11/08/2015",237.149994,239.300003,234.440002,237.369995,4253300
"177","12/03/2015",193.75,194.449997,189.75,191.070007,4149300
"182","12/08/2015",235,239.770004,232.740005,238.169998,3728000
"187","12/12/2016",192.800003,194.419998,191.179993,192.429993,2438900
"198","13/08/2014",262.01001,265.640015,259.609985,260.309998,6932600
"209","14/03/2016",212.649994,216.720001,210.639999,215.149994,4065700
"211","14/03/2019",292.450012,295.390015,288.290009,289.959991,7103400
"216","14/07/2015",262.100006,265.98999,260.51001,265.649994,1907600
"222","14/09/2018",288.76001,297.329987,286.519989,295.200012,6765600
"235","15/07/2015",266.73999,267.48999,262.079987,263.140015,2021600
"236","15/08/2014",261.480011,262.089996,258.5,262.01001,3867900
"247","16/03/2017",262.399994,265.75,259.059998,262.049988,7132200
"250","16/06/2016",217.419998,218.039993,213.5,217.929993,2440300
"251","16/07/2015",264.220001,267.200012,263.160004,266.679993,1616000
"262","17/03/2017",264,265.329987,261.200012,261.5,6497500
"272","17/11/2015",215.199997,216,211.399994,214,2148700
"276","18/01/2017",236.649994,239.710007,235.580002,238.360001,3769000
"277","18/02/2016",172.419998,172.949997,164.770004,166.770004,3887600
"287","18/09/2017",380.25,389.609985,377.679993,385,7188000
"293","18/12/2014",212.380005,218.440002,211.800003,218.259995,7483300
"309","20/01/2017",245.460007,246,243.009995,244.729996,4204300
"336","22/03/2016",237.210007,238.990005,232.559998,234.240005,4316000
"345","22/08/2017",341.130005,342.23999,337.369995,341.350006,4322000
"364","23/06/2015",260.320007,268,258.570007,267.670013,3870800
"366","23/06/2017",382.450012,386.98999,379.350006,383.450012,6445800
"383","24/06/2015",266.980011,267.350006,263.720001,265.170013,2412300
"384","24/06/2016",190.050003,195.119995,189.729996,193.149994,7026500
"387","24/10/2017",338.799988,342.799988,336.160004,337.339996,4491700
"414","26/08/2014",264.980011,265.5,261.660004,261.73999,3818000
"463","29/10/2015",211.75,213.75,210.639999,211.630005,1782400
"467","29/12/2016",218.559998,219.199997,214.119995,214.679993,4035900
"468","29/12/2017",316.179993,316.410004,310,311.350006,3777200
"476","30/07/2015",262.690002,266.940002,262.109985,266.790009,2034600
"477","30/07/2018",295.899994,296.100006,286.130005,290.170013,6814100
"493","31/10/2014",242.509995,243.119995,238.75,241.699997,3775300
